DATE,Region,SKU,QTY
01-01-2021,DR,SKU14,768.13
01-02-2021,DR,SKU14,802.64
01-03-2021,DR,SKU14,879.21
01-04-2021,DR,SKU14,131.58
01-05-2021,DR,SKU14,123.08
01-06-2021,DR,SKU14,355.78
01-07-2021,DR,SKU14,462.13
01-08-2021,DR,SKU14,
01-09-2021,DR,SKU14,392.43
01-10-2021,DR,SKU14,0
01-11-2021,DR,SKU14,477.02
01-12-2021,DR,SKU14,1533.84
01-01-2022,DR,SKU14,771.07
01-02-2022,DR,SKU14,770.5
01-03-2022,DR,SKU14,753.38
01-04-2022,DR,SKU14,806.34
01-05-2022,DR,SKU14,533.45
01-06-2022,DR,SKU14,412.25
01-07-2022,DR,SKU14,571.16
01-08-2022,DR,SKU14,1047.07
01-09-2022,DR,SKU14,1884.13
01-10-2022,DR,SKU14,1839.67
01-11-2022,DR,SKU14,1660
01-12-2022,DR,SKU14,1815.4
01-01-2023,DR,SKU14,1217.5
01-02-2023,DR,SKU14,1173.2
01-03-2023,DR,SKU14,1146.46
01-04-2023,DR,SKU14,917.09
01-05-2023,DR,SKU14,1352.08
01-06-2023,DR,SKU14,1890.11
01-07-2023,DR,SKU14,2158.34
01-08-2023,DR,SKU14,2717.38
01-09-2023,DR,SKU14,2929.44
01-10-2023,DR,SKU14,3100.34
01-11-2023,DR,SKU14,3339.38
01-12-2023,DR,SKU14,3729.44
